bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
6	10	0.80	4	19.5	0.3	25	0	573.1 (0.75)
6	12	0.80	4	23.0	0.4	29	0	581.3 (0.76)
6	14	0.80	4	27.0	0.4	35	0	586.7 (0.76)
6	16	0.80	4	31.0	0.6	40	0	590.2 (0.77)
6	20	0.80	4	37.0	0.5	48	0	594.2 (0.77)
6	24	0.80	4	44.0	0.7	57	0	596.0 (0.78)
6	30	0.80	4	57.0	0.8	74	1	597.2 (0.78)
6	40	0.80	4	78.0	1.1	101	1	598.8 (0.78)
8	1	0.82	5	9.5	0.0	9	0	671.5 (0.66)
8	2	0.82	5	10.5	0.1	10	0	686.1 (0.67)
8	3	0.82	5	9.5	0.1	9	0	693.7 (0.68)
8	4	0.82	5	14.5	0.1	14	0	707.9 (0.69)
8	5	0.82	5	18.0	0.1	17	0	718.5 (0.70)
8	6	0.82	5	11.5	0.1	11	0	738.0 (0.72)
8	8	0.82	5	17.0	0.2	16	0	741.3 (0.72)
8	10	0.82	5	22.0	0.2	21	0	769.3 (0.75)
8	12	0.82	5	23.0	0.3	22	0	777.3 (0.76)
8	14	0.82	5	27.0	0.4	26	0	785.5 (0.77)
8	16	0.82	5	31.0	0.5	30	0	796.7 (0.78)
8	20	0.82	5	39.0	0.7	38	0	807.8 (0.79)
8	24	0.82	5	45.5	0.9	44	0	813.2 (0.79)
8	30	0.82	5	59.0	1.0	57	0	816.8 (0.80)
8	40	0.82	5	83.0	1.3	81	1	818.7 (0.80)
10	1	0.84	5	10.5	0.0	8	0	844.3 (0.66)
10	2	0.84	5	10.5	0.1	8	0	850.6 (0.66)
10	3	0.84	5	11.5	0.1	8	0	883.2 (0.69)
10	4	0.84	5	13.5	0.1	10	0	910.9 (0.71)
10	5	0.84	5	10.5	0.1	8	0	933.9 (0.73)
10	6	0.84	5	15.5	0.1	12	0	951.0 (0.74)
10	8	0.84	5	15.5	0.1	12	0	968.7 (0.76)
10	10	0.84	5	19.5	0.2	15	0	982.6 (0.77)
10	12	0.84	5	23.0	0.3	17	0	990.3 (0.77)
10	14	0.84	5	27.0	0.3	21	0	998.9 (0.78)
10	16	0.84	5	31.0	0.5	24	0	1008.8 (0.79)
10	20	0.84	5	39.0	0.8	30	0	1024.9 (0.80)
10	24	0.84	5	48.5	1.2	37	0	1037.2 (0.81)
10	30	0.84	5	59.5	1.3	46	1	1043.9 (0.82)
10	40	0.84	5	82.5	1.5	64	1	1047.4 (0.82)
12	1	0.84	5	11.0	0.0	7	0	995.2 (0.65)
12	2	0.84	5	11.0	0.0	7	0	1037.6 (0.68)
12	3	0.84	5	11.0	0.1	7	0	1048.8 (0.68)
12	4	0.84	5	11.0	0.1	7	0	1086.0 (0.71)
12	5	0.84	5	11.0	0.1	7	0	1111.4 (0.72)
12	6	0.84	5	11.5	0.1	7	0	1134.7 (0.74)
12	8	0.84	5	16.5	0.1	10	0	1157.6 (0.75)
12	10	0.84	5	19.5	0.2	12	0	1169.2 (0.76)
12	12	0.84	5	23.0	0.2	14	0	1179.4 (0.77)
12	14	0.84	5	27.0	0.3	17	0	1187.2 (0.77)
12	16	0.84	5	31.0	0.4	20	0	1197.5 (0.78)
12	20	0.84	5	39.0	0.4	25	0	1219.6 (0.79)
12	24	0.84	5	46.5	1.0	30	0	1233.0 (0.80)
12	30	0.84	5	56.5	0.9	36	0	1247.1 (0.81)
12	40	0.84	5	78.5	1.5	51	0	1254.4 (0.82)
14	1	0.86	6	15.5	0.0	8	0	1202.8 (0.67)
14	2	0.86	6	15.5	0.0	8	0	1204.7 (0.67)
14	3	0.86	6	16.5	0.0	9	0	1250.8 (0.70)
14	4	0.86	6	17.5	0.1	9	0	1255.6 (0.70)
14	5	0.86	6	20.0	0.1	11	0	1288.5 (0.72)
14	6	0.86	6	17.5	0.1	9	0	1320.0 (0.74)
14	8	0.86	6	24.5	0.1	13	0	1357.5 (0.76)
14	10	0.86	6	28.0	0.2	15	0	1377.5 (0.77)
14	12	0.86	6	23.0	0.2	12	0	1391.3 (0.78)
14	14	0.86	6	28.0	0.3	15	0	1402.9 (0.78)
14	16	0.86	6	34.5	0.3	19	0	1417.1 (0.79)
14	20	0.86	6	39.0	0.8	21	0	1444.0 (0.81)
14	24	0.86	6	46.5	0.9	25	0	1465.9 (0.82)
14	30	0.86	6	62.5	1.6	34	0	1487.1 (0.83)
14	40	0.86	6	89.5	1.7	49	0	1500.2 (0.84)
16	1	0.88	6	18.5	0.0	9	0	1381.3 (0.67)
16	2	0.88	6	18.5	0.1	9	0	1422.8 (0.69)
16	3	0.88	6	18.5	0.1	9	0	1452.0 (0.71)
16	4	0.88	6	21.0	0.1	10	0	1501.9 (0.73)
16	5	0.88	6	25.5	0.1	12	0	1533.6 (0.75)
16	6	0.88	6	24.5	0.1	11	0	1564.9 (0.76)
16	8	0.88	6	26.0	0.1	12	0	1592.6 (0.78)
16	10	0.88	6	35.0	0.2	17	0	1603.6 (0.78)
16	12	0.88	6	25.5	0.2	12	0	1610.6 (0.79)
16	14	0.88	6	29.5	0.3	14	0	1628.3 (0.80)
16	16	0.88	6	36.5	0.4	17	0	1644.0 (0.80)
16	20	0.88	6	51.5	0.8	25	0	1678.2 (0.82)
16	24	0.88	6	62.5	1.2	30	0	1705.4 (0.83)
16	30	0.88	6	77.5	2.1	37	1	1736.9 (0.85)
16	40	0.88	6	97.5	2.3	47	1	1754.6 (0.86)
20	1	0.88	7	22.5	0.0	8	0	1721.0 (0.67)
20	2	0.88	7	22.5	0.0	8	0	1740.1 (0.68)
20	3	0.88	7	25.5	0.0	9	0	1840.6 (0.72)
20	4	0.88	7	29.5	0.1	11	0	1883.6 (0.74)
20	5	0.88	7	23.0	0.1	8	0	1895.2 (0.74)
20	6	0.88	7	28.5	0.1	11	0	1918.6 (0.75)
20	8	0.88	7	22.5	0.1	8	0	1954.8 (0.76)
20	10	0.88	7	31.0	0.1	12	0	1977.5 (0.77)
20	12	0.88	7	42.0	0.2	16	0	1984.4 (0.78)
20	14	0.88	7	38.0	0.2	14	0	2020.4 (0.79)
20	16	0.88	7	32.5	0.3	12	0	2034.0 (0.79)
20	20	0.88	7	47.5	0.4	18	0	2061.6 (0.81)
20	24	0.88	7	59.0	0.8	23	0	2091.9 (0.82)
20	30	0.88	7	67.0	1.1	26	0	2136.3 (0.83)
20	40	0.88	7	87.0	2.3	33	0	2182.2 (0.85)
24	1	0.90	7	27.0	0.0	8	0	2094.5 (0.68)
24	2	0.90	7	27.0	0.0	8	0	2141.8 (0.70)
24	3	0.90	7	30.0	0.1	9	0	2249.8 (0.73)
24	4	0.90	7	36.0	0.0	11	0	2289.8 (0.75)
24	5	0.90	7	31.5	0.1	10	0	2299.0 (0.75)
24	6	0.90	7	35.0	0.1	11	0	2323.7 (0.76)
