0.5	2	77.1	0.593 *
0.5	3	77.7	0.574
0.5	4	77.7	0.549
0.5	5	79.2	0.539
0.5	6	75.8	0.530
0.5	7	77.7	0.519
0.5	8	77.7	0.519
-------------------------------- we do not use the 0.5 Mbps group
1	2	63.0	0.609 *
1	3	64.6	0.603
1	4	66.3	0.585
1	5	66.4	0.573
1	6	67.3	0.557
1	7	65.7	0.548
1	8	67.6	0.541
2	2	59.8	0.613
2	3	61.9	0.641 *
2	4	63.0	0.634
2	5	63.3	0.619
2	6	63.8	0.609
2	7	63.7	0.594
2	8	65.4	0.587
3	2	50.5	0.616
3	3	54.6	0.646 *
3	4	56.6	0.653
3	5	58.4	0.647
3	6	57.7	0.633
3	7	59.6	0.627
3	8	60.6	0.618
4	2	59.0	0.795 *
4	3	66.2	0.796
4	4	68.5	0.797
4	5	76.2	0.802
4	6	86.9	0.809
4	7	90.2	0.802
4	8	94.8	0.802
5	2	49.8	0.791
5	3	57.5	0.800 *
5	4	65.5	0.818
5	5	70.0	0.816
5	6	75.0	0.818
5	7	81.5	0.814
5	8	86.1	0.811
6	2	47.3	0.784
6	3	55.3	0.806
6	4	59.5	0.811 *
6	5	63.4	0.812
6	6	68.5	0.817
6	7	73.3	0.816
6	8	77.4	0.815
8	2	45.4	0.784
8	3	51.4	0.801
8	4	54.1	0.810 *
8	5	59.4	0.819
8	6	63.6	0.822
8	7	66.1	0.821
8	8	68.8	0.818
10	2	41.9	0.783
10	3	46.8	0.804
10	4	51.1	0.810
10	5	54.7	0.815 *
10	6	57.2	0.816
10	7	62.1	0.821
10	8	64.2	0.821
10	10	71.6	0.825
10	12	76.5	0.822
10	16	84.6	0.812
12	2	39.8	0.783
12	3	44.9	0.807
12	4	47.0	0.809
12	5	50.9	0.815
12	6	52.8	0.818 *
12	7	56.9	0.821
12	8	58.7	0.823
12	10	63.8	0.823
12	12	69.8	0.825
12	16	79.1	0.821
14	2	36.9	0.774
14	3	41.0	0.808
14	4	43.2	0.807
14	5	47.8	0.815
14	6	49.4	0.817
14	7	53.9	0.823 *
14	8	56.1	0.824
14	10	61.5	0.827
14	12	65.6	0.826
14	16	73.8	0.824
16	2	36.6	0.766
16	3	39.9	0.810
16	4	41.2	0.810
16	5	42.9	0.811
16	6	46.7	0.816
16	7	49.3	0.820 *
16	8	52.9	0.826
16	10	55.8	0.827
16	12	61.1	0.829
16	16	69.9	0.831
20	2	32.0	0.756
20	3	36.5	0.809
20	4	39.1	0.810
20	5	42.9	0.814
20	6	46.1	0.816
20	7	49.8	0.821
20	8	50.2	0.823 *
20	10	55.6	0.829
20	12	59.0	0.831
20	16	65.6	0.832
24	2	27.9	0.742
24	3	32.1	0.812
24	4	34.9	0.815
24	5	37.2	0.815
24	6	41.6	0.819
24	7	44.3	0.822
24	8	47.0	0.826
24	10	50.1	0.830 *
24	12	53.5	0.833
24	16	58.6	0.836
30	4	42.6	0.865
30	6	50.4	0.866
30	8	56.4	0.871 *
30	10	60.9	0.874
30	12	65.2	0.877
30	14	71.5	0.881
30	16	75.3	0.885
30	20	81.5	0.889
30	32	-	-
30	64	-	-
30	128	-	-
30	256	-	-
40	4	34.7	0.861
40	6	43.2	0.858
40	8	48.0	0.861
40	10	53.7	0.868 *
40	12	59.4	0.873
40	14	63.0	0.876
40	16	68.3	0.881
40	20	72.9	0.883
40	32	91.0	0.887
40	64	-	-
40	128	-	-
40	256	-	-
50	4	30.3	0.859
50	6	34.7	0.855
50	8	41.1	0.857
50	10	44.7	0.860
50	12	50.3	0.865 *
50	14	53.4	0.871
50	16	57.9	0.875
50	20	63.9	0.879
50	32	80.8	0.890
50	64	-	-
50	128	-	-
50	256	-	-
60	4	25.3	0.850
60	6	31.5	0.850
60	8	36.6	0.849
60	10	40.0	0.850
60	12	42.2	0.852
60	14	47.6	0.859 *
60	16	50.6	0.863
60	20	57.6	0.870
60	32	74.0	0.881
60	64	-	-
60	128	-	-
60	256	-	-
80	4	19.6	0.836
80	6	25.6	0.838
80	8	30.5	0.836
80	10	37.2	0.839
80	12	43.5	0.844
80	14	43.8	0.841
80	16	46.4	0.844 *
80	20	53.2	0.852
80	32	66.2	0.868
80	64	92.6	0.884
80	128	-	-
80	256	-	-
100	4	17.4	0.829
100	6	20.5	0.833
100	8	24.5	0.828
100	10	27.3	0.827
100	12	32.5	0.830
100	14	36.9	0.834
100	16	40.9	0.837
100	20	43.0	0.838 *
100	32	57.1	0.855
100	64	81.7	0.878
100	128	-	-
100	256	-	-
